[0.000000] (-) TimerEvent: {}
[0.000183] (-) JobUnselected: {'identifier': 'learning_action'}
[0.000216] (-) JobUnselected: {'identifier': 'learning_action'}
[0.000228] (-) JobUnselected: {'identifier': 'learning_action_cpp'}
[0.000237] (-) JobUnselected: {'identifier': 'learning_cv'}
[0.000246] (-) JobUnselected: {'identifier': 'learning_gazebo'}
[0.000254] (-) JobUnselected: {'identifier': 'learning_gazebo_fortress'}
[0.000263] (-) JobUnselected: {'identifier': 'learning_interface'}
[0.000272] (-) JobUnselected: {'identifier': 'learning_launch'}
[0.000280] (-) JobUnselected: {'identifier': 'learning_node'}
[0.000289] (-) JobUnselected: {'identifier': 'learning_node_cpp'}
[0.000297] (-) JobUnselected: {'identifier': 'learning_parameter'}
[0.000306] (-) JobUnselected: {'identifier': 'learning_parameter_cpp'}
[0.000315] (-) JobUnselected: {'identifier': 'learning_pkg_c'}
[0.000323] (-) JobUnselected: {'identifier': 'learning_pkg_python'}
[0.000335] (-) JobUnselected: {'identifier': 'learning_qos'}
[0.000342] (-) JobUnselected: {'identifier': 'learning_service'}
[0.000350] (-) JobUnselected: {'identifier': 'learning_service_cpp'}
[0.000358] (-) JobUnselected: {'identifier': 'learning_tf'}
[0.000366] (-) JobUnselected: {'identifier': 'learning_tf_cpp'}
[0.000374] (-) JobUnselected: {'identifier': 'learning_topic'}
[0.000382] (-) JobUnselected: {'identifier': 'learning_topic_cpp'}
[0.000391] (-) JobUnselected: {'identifier': 'learning_urdf'}
[0.000399] (-) JobUnselected: {'identifier': 'village_li'}
[0.000407] (-) JobUnselected: {'identifier': 'village_wang'}
[0.000416] (-) EventReactorShutdown: {}
