[0.000000] (-) TimerEvent: {}
[0.000080] (-) JobUnselected: {'identifier': 'learning_action'}
[0.000097] (-) JobUnselected: {'identifier': 'learning_action'}
[0.000108] (-) JobUnselected: {'identifier': 'learning_action_cpp'}
[0.000118] (-) JobUnselected: {'identifier': 'learning_cv'}
[0.000126] (-) JobUnselected: {'identifier': 'learning_gazebo'}
[0.000134] (-) JobUnselected: {'identifier': 'learning_gazebo_fortress'}
[0.000142] (-) JobUnselected: {'identifier': 'learning_interface'}
[0.000149] (-) JobUnselected: {'identifier': 'learning_launch'}
[0.000157] (-) JobUnselected: {'identifier': 'learning_node_cpp'}
[0.000165] (-) JobUnselected: {'identifier': 'learning_parameter'}
[0.000173] (-) JobUnselected: {'identifier': 'learning_parameter_cpp'}
[0.000181] (-) JobUnselected: {'identifier': 'learning_pkg_c'}
[0.000189] (-) JobUnselected: {'identifier': 'learning_pkg_python'}
[0.000196] (-) JobUnselected: {'identifier': 'learning_qos'}
[0.000204] (-) JobUnselected: {'identifier': 'learning_service'}
[0.000212] (-) JobUnselected: {'identifier': 'learning_service_cpp'}
[0.000220] (-) JobUnselected: {'identifier': 'learning_tf'}
[0.000227] (-) JobUnselected: {'identifier': 'learning_tf_cpp'}
[0.000237] (-) JobUnselected: {'identifier': 'learning_topic'}
[0.000245] (-) JobUnselected: {'identifier': 'learning_topic_cpp'}
[0.000253] (-) JobUnselected: {'identifier': 'learning_urdf'}
[0.000261] (-) JobUnselected: {'identifier': 'village_li'}
[0.000268] (-) JobUnselected: {'identifier': 'village_wang'}
[0.000280] (-) EventReactorShutdown: {}
