[0.000000] (-) TimerEvent: {}
[0.000348] (-) JobUnselected: {'identifier': 'learning_action'}
[0.000376] (-) JobUnselected: {'identifier': 'learning_action'}
[0.000387] (-) JobUnselected: {'identifier': 'learning_action_cpp'}
[0.000395] (-) JobUnselected: {'identifier': 'learning_cv'}
[0.000402] (-) JobUnselected: {'identifier': 'learning_gazebo'}
[0.000409] (-) JobUnselected: {'identifier': 'learning_gazebo_fortress'}
[0.000417] (-) JobUnselected: {'identifier': 'learning_interface'}
[0.000424] (-) JobUnselected: {'identifier': 'learning_launch'}
[0.000432] (-) JobUnselected: {'identifier': 'learning_node_cpp'}
[0.000440] (-) JobUnselected: {'identifier': 'learning_parameter'}
[0.000448] (-) JobUnselected: {'identifier': 'learning_parameter_cpp'}
[0.000455] (-) JobUnselected: {'identifier': 'learning_pkg_c'}
[0.000463] (-) JobUnselected: {'identifier': 'learning_pkg_python'}
[0.000470] (-) JobUnselected: {'identifier': 'learning_qos'}
[0.000478] (-) JobUnselected: {'identifier': 'learning_service'}
[0.000485] (-) JobUnselected: {'identifier': 'learning_service_cpp'}
[0.000493] (-) JobUnselected: {'identifier': 'learning_tf'}
[0.000500] (-) JobUnselected: {'identifier': 'learning_tf_cpp'}
[0.000508] (-) JobUnselected: {'identifier': 'learning_topic'}
[0.000516] (-) JobUnselected: {'identifier': 'learning_topic_cpp'}
[0.000524] (-) JobUnselected: {'identifier': 'learning_urdf'}
[0.000532] (-) JobUnselected: {'identifier': 'village_li'}
[0.000539] (-) JobUnselected: {'identifier': 'village_wang'}
[0.000799] (-) EventReactorShutdown: {}
