[0.000000] (-) TimerEvent: {}
[0.000077] (-) JobUnselected: {'identifier': 'learning_action'}
[0.000092] (-) JobUnselected: {'identifier': 'learning_action'}
[0.000101] (-) JobUnselected: {'identifier': 'learning_action_cpp'}
[0.000109] (-) JobUnselected: {'identifier': 'learning_cv'}
[0.000116] (-) JobUnselected: {'identifier': 'learning_gazebo'}
[0.000123] (-) JobUnselected: {'identifier': 'learning_gazebo_fortress'}
[0.000130] (-) JobUnselected: {'identifier': 'learning_interface'}
[0.000137] (-) JobUnselected: {'identifier': 'learning_launch'}
[0.000144] (-) JobUnselected: {'identifier': 'learning_node_cpp'}
[0.000151] (-) JobUnselected: {'identifier': 'learning_parameter'}
[0.000158] (-) JobUnselected: {'identifier': 'learning_parameter_cpp'}
[0.000164] (-) JobUnselected: {'identifier': 'learning_pkg_c'}
[0.000172] (-) JobUnselected: {'identifier': 'learning_pkg_python'}
[0.000179] (-) JobUnselected: {'identifier': 'learning_qos'}
[0.000186] (-) JobUnselected: {'identifier': 'learning_service'}
[0.000193] (-) JobUnselected: {'identifier': 'learning_service_cpp'}
[0.000200] (-) JobUnselected: {'identifier': 'learning_tf'}
[0.000207] (-) JobUnselected: {'identifier': 'learning_tf_cpp'}
[0.000213] (-) JobUnselected: {'identifier': 'learning_topic'}
[0.000220] (-) JobUnselected: {'identifier': 'learning_topic_cpp'}
[0.000227] (-) JobUnselected: {'identifier': 'learning_urdf'}
[0.000234] (-) JobUnselected: {'identifier': 'village_li'}
[0.000240] (-) JobUnselected: {'identifier': 'village_wang'}
[0.000247] (-) EventReactorShutdown: {}
